company,status,analyst report,rating,industry,platform,Valuation / Cap,security type,momentum,amount raised,start date,close date,annual revenue,revenue multiple,investors,average daily raise,min investment,reg type,minority founders,Women Founders,lgbtq founders,social impact,state
Tipsy Cupcakes,Funded,No Report,-,"Food, Beverage, & Restaurants",MainVest,-,Revenue Share,Closed,"$16,400 ",5/6/2022,7/8/2022,"$70,141 ",-,69,$260 ,$100 ,RegCF,Yes,Yes,-,-,Massachusetts
"Wearloom, a Series of Jason’s Syndicate",Funded,No Report,-,"Consumer Products, Goods & Services",The Syndicate,-,Equity - Common,-,-,5/6/2022,5/11/2022,-,-,-,-,"$4,000 ",RegD 506b,-,-,-,-,California
Karla & Co,Funded,No Report,2.33,Apparel & Fashion,StartEngine,"$12,000,000 ",Equity - Common,Closed,"$72,306 ",5/5/2022,8/3/2022,"$374,656 ",32x,117,$803 ,$255 ,RegCF,Yes,Yes,-,-,Arizona
The Bearded Baking Company,Funded,No Report,-,"Food, Beverage, & Restaurants",Honeycomb,-,Debt,Closed,"$53,000 ",5/5/2022,6/20/2022,"$259,608 ",-,45,"$1,152 ",$100 ,RegCF,-,-,-,-,Texas
IZOLA,Funded,No Report,-,"Food, Beverage, & Restaurants",MainVest,-,Revenue Share,Closed,"$101,900 ",5/5/2022,6/9/2022,"$351,213 ",-,32,"$2,911 ",$100 ,RegCF,Yes,Yes,Yes,-,California
Fleek,Funded,No Report,-,"Business Services, Software, & Applications",Angellist,-,Equity - Common,-,-,5/5/2022,5/13/2022,-,-,-,-,"$1,000 ",RegD 506b,-,-,-,-,New York
Three Sisters Meats,Funded,No Report,1,"Food, Beverage, & Restaurants",Silicon Prairie Online,Uncapped,Convertible Note,Closed,"$51,500 ",5/4/2022,12/31/2022,-,-,7,$214 ,$500 ,RegCF,-,-,-,-,Idaho
Univenture,Funded,No Report,2.93,Marketing & Advertising,Wefunder,"$17,200,000 ",SAFE,Closed,"$89,850 ",5/4/2022,11/30/2022,"$6,634,177 ",2.6x,38,$428 ,$100 ,RegCF,-,Yes,-,-,Ohio
Localvore,Funded,No Report,4.27,"Food, Beverage, & Restaurants",StartEngine,"$9,803,251 ",Equity - Common,Closed,"$61,944 ",5/4/2022,10/31/2022,"$405,752 ",24.2x,68,$344 ,$250 ,RegCF,-,-,-,Yes,Vermont
Venganza Foods,Funded,No Report,2.62,"Food, Beverage, & Restaurants",Wefunder,"$10,000,000 ",SAFE,Closed,"$120,677 ",5/3/2022,8/23/2022,"$33,467 ",298.8x,301,"$1,077 ",$100 ,RegCF,Yes,-,-,Yes,California
Bee My Blessing,Funded,No Report,-,"Food, Beverage, & Restaurants",Honeycomb,-,Debt,Closed,"$48,020 ",5/3/2022,6/20/2022,-,-,41,"$1,000 ",$100 ,RegCF,-,-,-,Yes,Georgia
"Metadata, a Series of Jason’s Syndicate",Funded,No Report,-,Marketing & Advertising,The Syndicate,-,Equity - Common,-,-,5/3/2022,5/11/2022,-,-,-,-,"$10,000 ",RegD 506b,-,-,-,-,California
FileInvite,Funded,No Report,-,"Business Services, Software, & Applications",Angellist,-,Equity - Common,-,-,5/3/2022,5/4/2022,-,-,-,-,"$1,000 ",RegD 506b,-,-,-,-,Colorado
Speedy Eats,Funded,No Report,2.32,"Food, Beverage, & Restaurants",StartEngine,"$20,979,788 ",Equity - Common,Closed,"$339,394 ",5/2/2022,11/28/2022,-,-,221,"$1,616 ",$249 ,RegCF,-,-,-,-,Louisiana
Smoove Xperience,Funded,No Report,3.13,Travel and Hospitality,Netcapital,"$20,835,597 ",Equity - Common,Closed,"$53,878 ",5/2/2022,10/28/2022,"$1,182,588 ",17.6x,-,$301 ,$99 ,RegCF,Yes,-,-,-,California
"Bluesky Data Seed, a series of GOAT Investments LLC",Funded,No Report,-,"Business Services, Software, & Applications",Self Managed,-,Equity - Common,-,-,5/2/2022,5/24/2022,-,-,-,-,"$7,500 ",RegD 506b,-,-,-,-,Delaware
"Loopie, a Series of Jason’s Syndicate",Funded,No Report,-,"Consumer Products, Goods & Services",The Syndicate,-,Equity - Common,-,-,5/2/2022,5/11/2022,-,-,-,-,"$4,000 ",RegD 506b,-,-,-,-,Washington
Renewable Energy Products Manufacturing,Funded,No Report,4.82,"Energy, Power, & Natural Resources",StartEngine,"$21,003,165 ",Equity - Common,Closed,"$80,031 ",4/29/2022,7/28/2022,"$69,000 ",304.4x,127,$889 ,$100 ,RegCF,Yes,-,-,Yes,New Jersey
Heart & Solar Brew Farm,Funded,No Report,1.1,"Alcohol, Tobacco, & Recreational Drugs",Wefunder,"$2,500,000 ",Convertible Note,Closed,"$70,150 ",4/28/2022,10/28/2022,-,-,29,$383 ,$100 ,RegCF,-,-,-,Yes,Maryland
Beetexting,Funded,No Report,4.94,"Business Services, Software, & Applications",Wefunder,"$7,000,000 ",SAFE,Closed,"$375,103 ",4/28/2022,9/13/2022,"$468,955 ",14.9x,116,"$2,718 ",$250 ,RegCF,Yes,-,-,-,Illinois
Lightning Clean,Funded,No Report,1.28,"Consumer Products, Goods & Services",StartEngine,"$14,280,000 ",Equity - Common,Closed,"$106,396 ",4/28/2022,8/25/2022,-,-,133,$894 ,$119 ,RegCF,-,-,-,-,Idaho
Pops,Funded,Neutral,4.58,Healthcare & Pharmaceuticals,StartEngine,"$17,935,188 ",Equity - Preferred,Closed,"$59,751 ",4/28/2022,7/26/2022,"$163,164 ",109.9x,56,$671 ,$201 ,RegCF,-,-,-,Yes,Minnesota
Injaga,Funded,No Report,-,"Alcohol, Tobacco, & Recreational Drugs",MainVest,-,Revenue Share,Closed,"$81,600 ",4/28/2022,1/15/2023,-,-,197,$311 ,$100 ,RegCF,Yes,-,-,-,Massachusetts
Triune Solutions,Funded,No Report,-,"Security, Cybersecurity, & Defense",SMBX,-,Debt,Closed,"$183,120 ",4/27/2022,7/11/2022,"$582,530 ",-,-,"$2,442 ",$10 ,RegCF,Yes,-,-,-,District of Columbia
Champion Lender,Funded,Top Deal,3.36,Real Estate & Construction,Republic,"$12,750,000 ",SAFE,Closed,"$137,449 ",4/26/2022,11/11/2022,"$5,419,259 ",2.4x,389,$691 ,$100 ,RegCF,Yes,Yes,Yes,Yes,Florida
allocortech,Funded,Deal To Watch,4.61,"Transportation, Automotive, Aviation, & Aerospace",Wefunder,"$18,000,000 ",Convertible Note,Closed,"$365,799 ",4/25/2022,9/23/2022,"$1,639,030 ",11x,239,"$2,423 ",$100 ,RegCF,-,-,-,-,Virginia
RKS Off-Road,Funded,No Report,4.78,"Transportation, Automotive, Aviation, & Aerospace",StartEngine,"$12,264,297 ",Equity - Common,Closed,"$59,142 ",4/25/2022,7/21/2022,"$447,791 ",27.4x,49,$680 ,$232 ,RegCF,-,Yes,-,-,California
Maven Curation,Funded,No Report,2.43,"Business Services, Software, & Applications",Wefunder,"$5,000,000 ",SAFE,Closed,"$75,100 ",4/25/2022,5/14/2022,-,-,38,"$3,953 ",$100 ,RegCF,Yes,Yes,-,-,New York
Propeller,Funded,No Report,2.54,Marketing & Advertising,Wefunder,"$10,021,131 ",Equity - Preferred,Closed,"$149,280 ",4/22/2022,1/12/2023,"$1,033,046 ",9.7x,234,$563 ,$250 ,RegCF,-,-,-,Yes,California
Vironix Health,Funded,No Report,3.96,Healthcare & Pharmaceuticals,Wefunder,"$14,900,000 ",Equity - Preferred,Closed,"$822,518 ",4/22/2022,12/16/2022,"$2,408 ",1000x+,200,"$3,456 ",$250 ,RegCF,Yes,-,-,-,Texas
Boone’s Bourbon,Funded,No Report,1.53,"Alcohol, Tobacco, & Recreational Drugs",StartEngine,"$12,000,000 ",Equity - Common,Closed,"$209,366 ",4/22/2022,10/18/2022,"$32,329 ",371.2x,369,"$1,170 ",$100 ,RegCF,-,-,-,-,South Carolina
Anchor & Hope,Funded,No Report,-,"Alcohol, Tobacco, & Recreational Drugs",MainVest,-,Revenue Share,Closed,"$250,000 ",4/22/2022,7/15/2022,"$403,383 ",-,12,"$2,976 ",$100 ,RegCF,-,Yes,-,-,Rhode Island
Angle Tree Brewery,Funded,No Report,-,"Alcohol, Tobacco, & Recreational Drugs",MainVest,-,Revenue Share,Closed,"$50,000 ",4/22/2022,6/9/2022,-,-,58,"$1,042 ",$100 ,RegCF,-,-,-,-,Massachusetts
Redcrest Kitchen,Funded,No Report,-,"Food, Beverage, & Restaurants",Honeycomb,-,Debt,Closed,"$115,811 ",4/22/2022,6/6/2022,-,-,61,"$2,574 ",$100 ,RegCF,-,Yes,-,-,Pennsylvania
Koia,Funded,No Report,-,"Food, Beverage, & Restaurants",Wefunder,"$115,000,000 ",Convertible Note,Closed,"$507,660 ",4/22/2022,4/30/2022,-,-,272,"$63,458 ",$100 ,RegCF,-,-,-,-,California
Arcum Partners,Funded,No Report,4.14,"Business Services, Software, & Applications",Wefunder,"$5,000,000 ",SAFE,Closed,"$70,038 ",4/21/2022,9/30/2022,"$27,285 ",183.3x,32,$432 ,$100 ,RegCF,Yes,-,-,-,Georgia
Digital Frontier Marketing,Funded,No Report,2.96,Marketing & Advertising,TruCrowd,"$27,000,000 ",Equity - Common,Closed,"$180,008 ",4/21/2022,8/26/2022,"$52,277 ",516.5x,73,"$1,417 ",$200 ,RegCF,-,-,-,-,Florida
Horror Hub Marketplace,Funded,No Report,2.04,"Media, Entertainment & Publishing",Wefunder,"$2,000,000 ",SAFE,Closed,"$70,280 ",4/20/2022,11/2/2022,"$12,423 ",161x,26,$359 ,$100 ,RegCF,-,-,-,-,Pennsylvania
Zomo,Funded,No Report,1.61,Fitness & Wellness,Wefunder,"$14,000,000 ",SAFE,Closed,"$104,900 ",4/20/2022,10/26/2022,-,-,-,$555 ,$100 ,RegCF,Yes,-,-,-,New Jersey
Radar4.ai,Funded,No Report,1.65,"Business Services, Software, & Applications",Wefunder,"$4,500,000 ",SAFE,Closed,"$61,776 ",4/20/2022,10/22/2022,-,-,39,$334 ,$100 ,RegCF,-,-,-,-,Washington
Cytonics,Funded,Neutral,3.48,Healthcare & Pharmaceuticals,SeedInvest,"$58,915,996 ",Equity - Preferred,Closed,"$2,633,766 ",4/20/2022,10/14/2022,"$307,500 ",191.6x,"1,555","$14,880 ","$1,001 ",RegCF,-,-,-,-,Florida
TBJ Gourmet,Funded,Neutral,2.53,"Food, Beverage, & Restaurants",Wefunder,"$7,999,130 ",Equity - Preferred,Closed,"$289,794 ",4/20/2022,10/8/2022,"$1,329,439 ",6x,149,"$1,695 ",$100 ,RegCF,-,-,-,-,Pennsylvania
Kidcaboo,Funded,No Report,2.46,"Transportation, Automotive, Aviation, & Aerospace",Wefunder,"$12,000,000 ",SAFE,Closed,"$380,435 ",4/20/2022,8/24/2022,"$30,000 ",400x,221,"$3,019 ",$100 ,RegCF,-,Yes,-,-,Pennsylvania
Blossom Flower,Funded,No Report,-,"Logistics, Delivery, & Supply Chain",MainVest,-,Revenue Share,Closed,"$93,000 ",4/20/2022,10/28/2022,-,-,178,$487 ,$100 ,RegCF,Yes,Yes,-,-,Massachusetts
The Black Bread Company,Funded,No Report,2.11,"Food, Beverage, & Restaurants",StartEngine,"$25,020,000 ",Equity - Common,Closed,"$1,067,267 ",4/19/2022,9/16/2022,"$261,139 ",95.8x,"1,817","$7,115 ",$250 ,RegCF,Yes,-,-,Yes,Illinois
Ossa,Funded,Neutral,4.22,Marketing & Advertising,StartEngine,"$14,000,000 ",Equity - Common,Closed,"$77,929 ",4/19/2022,8/17/2022,"$186,964 ",74.9x,77,$649 ,$199 ,RegCF,-,Yes,-,-,New Jersey
Noodlepig,Funded,No Report,-,"Food, Beverage, & Restaurants",Honeycomb,-,Debt,Closed,"$50,000 ",4/19/2022,6/28/2022,-,-,39,$714 ,$100 ,RegCF,Yes,-,-,Yes,Michigan
Freshly Baked Company,Funded,No Report,-,"Alcohol, Tobacco, & Recreational Drugs",MainVest,-,Revenue Share,Closed,"$68,500 ",4/19/2022,6/17/2022,"$1,828,036 ",-,69,"$1,161 ",$100 ,RegCF,Yes,Yes,-,Yes,Massachusetts
Outta Sight,Funded,No Report,-,"Food, Beverage, & Restaurants",SMBX,-,Debt,Closed,"$104,510 ",4/19/2022,5/31/2022,"$72,845 ",-,-,"$2,488 ",$10 ,RegCF,Yes,-,-,-,California
Big C Waffles,Funded,No Report,-,"Food, Beverage, & Restaurants",MainVest,-,Revenue Share,Closed,"$56,000 ",4/19/2022,5/13/2022,"$254,627 ",-,61,"$2,333 ",$100 ,RegCF,Yes,-,-,-,North Carolina
Kari Gran,Funded,No Report,2.99,Beauty & Personal Care,StartEngine,"$10,976,421 ",Equity - Common,Closed,"$320,461 ",4/14/2022,9/29/2022,"$1,653,896 ",6.6x,246,"$1,908 ",$249 ,RegCF,-,Yes,-,Yes,Washington
CGB Green Liberty Notes,Funded,No Report,-,Financial & Insurance Products & Services,Raise Green,-,Debt,Closed,"$114,100 ",4/13/2022,5/14/2022,-,-,-,"$3,681 ",$100 ,RegCF,Yes,-,-,Yes,Connecticut
KarbonPay,Funded,No Report,1.93,"Business Services, Software, & Applications",Wefunder,"$15,012,810 ",Equity - Common,Closed,"$346,913 ",4/11/2022,11/30/2022,"$2,500,000 ",6x,146,"$1,489 ",$100 ,RegCF,-,-,-,-,Texas
Yornest,Funded,No Report,2.42,"Media, Entertainment & Publishing",Wefunder,"$3,250,000 ",SAFE,Closed,"$78,150 ",4/11/2022,8/31/2022,"$104,095 ",31.2x,34,$550 ,$100 ,RegCF,Yes,-,-,-,Kentucky
2nd Skull,Funded,No Report,3.07,"Media, Entertainment & Publishing",StartEngine,"$10,312,250 ",Equity - Preferred,Closed,"$60,495 ",4/11/2022,8/8/2022,"$124,319 ",82.9x,123,$508 ,$150 ,RegCF,Yes,-,-,-,Pennsylvania
Coco Pago,Funded,Deal To Watch,4.99,Financial & Insurance Products & Services,Wefunder,"$12,000,000 ",SAFE,Closed,"$218,002 ",4/11/2022,4/30/2022,"$7,301,814 ",1.6x,165,"$11,474 ",$100 ,RegCF,Yes,-,-,Yes,New York
Hydro Wind Energy,Funded,No Report,4.08,"Energy, Power, & Natural Resources",Republic,"$70,000,000 ",SAFE,Closed,"$529,590 ",4/11/2022,4/30/2022,-,-,881,"$27,873 ",$100 ,RegCF,Yes,Yes,-,Yes,California
La Borra Cafe California,Funded,No Report,1.37,"Food, Beverage, & Restaurants",Republic,"$19,500,000 ",Equity - Common,Closed,"$189,307 ",4/11/2022,4/30/2022,-,-,479,"$9,964 ",$100 ,RegCF,-,Yes,-,-,Illinois
Waldscraft,Funded,No Report,-,"Food, Beverage, & Restaurants",MainVest,-,Revenue Share,Closed,"$103,400 ",4/11/2022,5/8/2022,-,-,126,"$3,830 ",$100 ,RegCF,-,Yes,-,-,California
Accrew,Funded,No Report,1.97,Financial & Insurance Products & Services,Wefunder,"$1,250,000 ",SAFE,Closed,"$89,530 ",4/8/2022,11/1/2022,-,-,75,$433 ,$100 ,RegCF,-,-,-,-,Illinois
Big Wheelbarrow,Funded,No Report,3.52,"Logistics, Delivery, & Supply Chain",Wefunder,"$10,000,000 ",Convertible Note,Closed,"$82,149 ",4/8/2022,8/19/2022,"$79,116 ",126.4x,110,$618 ,$100 ,RegCF,-,Yes,-,Yes,New York
Scaeva Technologies,Funded,No Report,3.83,"Media, Entertainment & Publishing",StartEngine,"$23,221,514 ",Equity - Common,Closed,"$96,440 ",4/8/2022,8/8/2022,-,-,27,$790 ,$500 ,RegCF,-,Yes,-,-,California
Deepr,Funded,No Report,3.65,"Media, Entertainment & Publishing",Wefunder,"$10,000,000 ",Convertible Note,Closed,"$58,625 ",4/8/2022,5/14/2022,"$40,002 ",250x,69,"$1,628 ",$100 ,RegCF,Yes,-,-,-,Georgia
Terra.do,Funded,No Report,3.56,"Business Services, Software, & Applications",Wefunder,"$25,000,000 ",SAFE,Closed,"$304,685 ",4/8/2022,4/30/2022,"$108,444 ",230.5x,48,"$13,849 ",$100 ,RegCF,Yes,-,-,Yes,California
Duo Marketplace,Funded,No Report,-,"Food, Beverage, & Restaurants",SMBX,-,Debt,Closed,"$68,260 ",4/8/2022,5/23/2022,"$93,308 ",-,-,"$1,517 ",$10 ,RegCF,Yes,-,-,-,Washington
RINDEV,Funded,No Report,1.36,"Transportation, Automotive, Aviation, & Aerospace",Wefunder,"$16,000,000 ",SAFE,Closed,"$213,207 ",4/7/2022,11/30/2022,-,-,98,$900 ,$100 ,RegCF,-,-,-,Yes,Colorado
OptioLend,Funded,No Report,3.32,Real Estate & Construction,StartEngine,"$10,000,000 ",Equity - Common,Closed,"$197,985 ",4/7/2022,8/4/2022,-,-,50,"$1,664 ",$250 ,RegCF,-,-,-,-,Ohio
Lectrium,Funded,No Report,2.47,Real Estate & Construction,Wefunder,"$6,000,000 ",SAFE,Closed,"$61,700 ",4/7/2022,4/28/2022,-,-,20,"$2,938 ","$1,000 ",RegCF,-,-,-,-,California
Replit,Funded,Neutral,2.13,"Business Services, Software, & Applications",Wefunder,"$979,000,000 ",SAFE,Closed,"$5,000,000 ",4/7/2022,4/16/2022,"$297,143 ",1000x+,"2,675","$555,556 ","$1,000 ",RegCF,Yes,Yes,-,-,California
Ohiya Networks,Funded,No Report,-,"Business Services, Software, & Applications",SMBX,-,Debt,Closed,"$214,720 ",4/7/2022,6/7/2022,"$926,957 ",-,-,"$3,520 ",$10 ,RegCF,Yes,-,-,-,Colorado
NVIS,Funded,No Report,-,"Security, Cybersecurity, & Defense",Fundify,"$8,000,000 ",SAFE,Closed,"$65,150 ",4/7/2022,5/21/2022,-,-,5,"$1,481 ",$100 ,TTW,-,-,-,-,California
Greenwater Marine Sciences Offshore,Funded,No Report,3.03,"Transportation, Automotive, Aviation, & Aerospace",Wefunder,"$10,000,000 ",SAFE,Closed,"$239,450 ",4/6/2022,8/17/2022,-,-,56,"$1,800 ",$100 ,RegCF,-,-,-,Yes,Virginia
Eden Fresh Network,Funded,No Report,-,"Food, Beverage, & Restaurants",Honeycomb,-,Debt,Closed,"$69,750 ",4/6/2022,5/24/2022,-,-,70,"$1,453 ",$100 ,RegCF,Yes,Yes,-,Yes,New York
Neighborhood Sun,Funded,Deal To Watch,4.1,"Energy, Power, & Natural Resources",Wefunder,"$27,500,000 ",Convertible Note,Closed,"$920,433 ",4/5/2022,9/16/2022,"$1,537,417 ",17.9x,"1,995","$5,612 ",$250 ,RegCF,-,-,-,Yes,Maryland
SLO,Funded,No Report,2.68,Apparel & Fashion,Wefunder,"$3,500,000 ",SAFE,Closed,"$293,841 ",4/5/2022,9/6/2022,-,-,920,"$1,908 ",$100 ,RegCF,Yes,-,-,Yes,Delaware
Frisco’s Chicken,Funded,No Report,-,"Food, Beverage, & Restaurants",Honeycomb,-,Debt,Closed,"$67,104 ",4/5/2022,5/23/2022,"$977,022 ",-,39,"$1,398 ",$100 ,RegCF,Yes,-,-,-,Pennsylvania
Stonks,Funded,No Report,-,Financial & Insurance Products & Services,Self Managed,-,Equity - Common,-,-,4/5/2022,4/12/2022,-,-,-,-,-,RegD 506b,-,-,-,-,California
"Dealgrace, a Series of Jason’s Syndicate",Funded,No Report,-,"Consumer Products, Goods & Services",The Syndicate,-,Equity - Common,-,-,4/5/2022,4/7/2022,-,-,-,-,"$4,000 ",RegD 506b,-,-,-,-,California
Swell Watercraft,Funded,No Report,3.36,"Transportation, Automotive, Aviation, & Aerospace",Wefunder,"$8,000,000 ",SAFE,Closed,"$167,787 ",4/4/2022,7/31/2022,"$282,472 ",28.3x,89,"$1,422 ",$100 ,RegCF,-,-,-,-,Washington
April,Funded,No Report,2.59,Real Estate & Construction,Wefunder,"$20,000,000 ",SAFE,Closed,"$5,000,000 ",4/4/2022,4/27/2022,-,-,"4,954","$217,391 ",$100 ,RegCF,Yes,-,-,-,New York
CalTier,Funded,No Report,-,Financial & Insurance Products & Services,Rialto Markets,"$5,000,000 ",Equity - Common,Closed,-,4/4/2022,6/21/2022,"$35,246 ",141.9x,-,-,"$1,000 ",RegCF,-,-,-,-,California
Cultos,Funded,No Report,-,Marketing & Advertising,Republic,-,Debt,Closed,"$5,000,000 ",4/4/2022,4/29/2022,"$8,783 ",-,"3,813","$200,000 ",$100 ,RegCF,Yes,-,-,-,California
"JoyHub, a Series of Jason’s Syndicate",Funded,No Report,-,Real Estate & Construction,The Syndicate,-,Equity - Common,-,-,4/4/2022,4/7/2022,-,-,-,-,"$4,000 ",RegD 506b,-,-,-,-,Arizona
Demand Derivatives,Funded,No Report,3.63,Financial & Insurance Products & Services,Netcapital,"$34,859,248 ",Equity - Preferred,Closed,"$122,685 ",4/1/2022,12/10/2022,-,-,-,$485 ,$112 ,RegCF,-,-,-,-,New York
Grain Dealers,Funded,No Report,1.58,"Food, Beverage, & Restaurants",Vicinity,"$1,070,000 ",Equity - Common,Closed,"$211,104 ",4/1/2022,9/30/2022,-,-,-,"$1,160 ",$480 ,RegCF,-,-,-,-,North Carolina
HyperSciences,Funded,No Report,1.98,"Energy, Power, & Natural Resources",StartEngine,"$104,006,352 ",Equity - Preferred,Closed,"$433,304 ",4/1/2022,9/28/2022,-,-,235,"$2,407 ",$496 ,RegCF,-,-,-,Yes,Washington
Boxabl,Funded,Neutral,4.02,Real Estate & Construction,Republic,"$3,000,000,000 ",Equity - Preferred,Closed,"$1,167,623 ",4/1/2022,8/25/2022,"$90,000 ",1000x+,639,"$7,997 ","$1,000 ",RegA+,-,-,-,Yes,Nevada
Boxabl,Funded,No Report,4.03,Real Estate & Construction,StartEngine,"$3,000,000,000 ",Equity - Preferred,Closed,"$24,985,421 ",4/1/2022,8/25/2022,"$90,000 ",1000x+,"10,709","$171,133 ","$1,000 ",RegA+,-,-,-,Yes,Nevada
Bemo Band,Funded,No Report,1.8,Travel and Hospitality,StartEngine,"$8,000,000 ",Equity - Common,Closed,"$59,242 ",4/1/2022,7/31/2022,-,-,34,$490 ,$250 ,RegCF,-,-,-,-,Florida
Greenberry’s Coffee Roasters (previously Greenberry’s Hard Coffee),Funded,No Report,2.15,"Consumer Products, Goods & Services",StartEngine,"$55,208,318 ",Equity - Common,Closed,"$137,872 ",4/1/2022,7/29/2022,"$1,785,849 ",30.9x,126,"$1,159 ",$242 ,RegCF,-,Yes,-,-,Virginia
HealthPoint Plus,Funded,No Report,1.26,Healthcare & Pharmaceuticals,StartEngine,"$17,907,147 ",Equity - Common,Closed,"$61,741 ",4/1/2022,4/30/2022,-,-,29,"$2,129 ",$497 ,RegCF,-,-,-,-,Massachusetts
Fan Owned Club,Funded,No Report,-,"Media, Entertainment & Publishing",Wefunder,"$28,127,250 ",Equity - Common,Closed,"$130,701 ",4/1/2022,12/20/2022,-,-,132,$497 ,$500 ,RegCF,-,-,-,-,Tennessee
Nan’s Market,Funded,No Report,-,"Food, Beverage, & Restaurants",SMBX,-,Debt,Closed,"$58,170 ",4/1/2022,5/27/2022,"$2,850,807 ",-,-,"$1,039 ",$10 ,RegCF,-,Yes,-,-,Massachusetts
Bae Bae’s Kitchen,Funded,No Report,-,"Food, Beverage, & Restaurants",Honeycomb,-,Debt,Closed,"$100,000 ",4/1/2022,5/17/2022,"$598,566 ",-,57,"$2,174 ",$100 ,RegCF,Yes,-,Yes,-,Pennsylvania
"Dianthus, a Series of Jason’s Syndicate",Funded,No Report,-,"Business Services, Software, & Applications",The Syndicate,-,Equity - Common,-,-,4/1/2022,4/4/2022,-,-,-,-,"$4,000 ",RegD 506b,-,-,-,-,Massachusetts
To The Stars,Funded,No Report,1.41,"Media, Entertainment & Publishing",Dalmore Group,"$30,000,000 ",Equity - Common,Closed,"$351,980 ",3/31/2022,11/3/2022,"$1,452,657 ",20.7x,23,"$1,622 ",$750 ,RegA+,-,-,-,-,California
Trella Technologies,Funded,No Report,4.71,Farming & Agriculture,Wefunder,"$30,000,000 ",Convertible Note,Closed,"$77,083 ",3/31/2022,10/25/2022,"$51,599 ",581.4x,134,$371 ,$250 ,RegCF,Yes,Yes,-,-,Massachusetts
ReNewSnow,Funded,No Report,1.96,"Energy, Power, & Natural Resources",Infrashares,"$10,000,000 ",Equity - Common,Closed,"$100,600 ",3/31/2022,8/31/2022,-,-,-,$658 ,$100 ,RegCF,-,-,-,Yes,Maine
Echo Mind AI,Funded,No Report,3.71,Healthcare & Pharmaceuticals,Wefunder,"$11,300,000 ",SAFE,Closed,"$73,840 ",3/31/2022,8/12/2022,-,-,66,$551 ,$200 ,RegCF,-,Yes,-,Yes,Colorado
ToneStone,Funded,No Report,1.81,"Media, Entertainment & Publishing",Republic,"$10,000,000 ",SAFE,Closed,"$79,123 ",3/31/2022,7/31/2022,-,-,121,$649 ,$150 ,RegCF,-,-,-,-,Massachusetts
TradeAlgo,Funded,No Report,3.46,Financial & Insurance Products & Services,StartEngine,"$28,332,000 ",Equity - Common,Closed,"$1,060,646 ",3/31/2022,5/22/2022,"$290,431 ",97.6x,392,"$20,397 ",$500 ,RegCF,-,-,-,-,New York
Punch,Funded,No Report,1.68,"Media, Entertainment & Publishing",Republic,"$8,000,000 ",SAFE,Closed,"$109,443 ",3/31/2022,4/30/2022,-,-,171,"$3,648 ",$100 ,RegCF,-,-,-,-,California
Calyxeum,Funded,No Report,-,"Alcohol, Tobacco, & Recreational Drugs",MainVest,-,Revenue Share,Closed,"$59,000 ",3/31/2022,7/25/2022,-,-,135,$509 ,$100 ,RegCF,Yes,Yes,-,-,Michigan
Innovative Recordings,Funded,No Report,-,"Media, Entertainment & Publishing",SMBX,-,Debt,Closed,"$225,230 ",3/31/2022,7/13/2022,"$654,269 ",-,-,"$2,166 ",$10 ,RegCF,Yes,-,-,Yes,District of Columbia
Quesadilla Gorilla,Funded,No Report,-,"Food, Beverage, & Restaurants",SMBX,-,Debt,Closed,"$380,100 ",3/31/2022,7/11/2022,"$2,590,017 ",-,-,"$3,726 ",$10 ,RegCF,Yes,Yes,-,-,California
Harper Macaw,Funded,No Report,-,"Food, Beverage, & Restaurants",MainVest,-,Revenue Share,Closed,"$88,700 ",3/31/2022,6/3/2022,-,-,94,"$1,386 ",$100 ,RegCF,-,-,-,Yes,District of Columbia
Hieber’s Pharmacy,Funded,No Report,-,Healthcare & Pharmaceuticals,Honeycomb,-,Debt,Closed,"$86,429 ",3/31/2022,5/17/2022,"$1,202,605 ",-,78,"$1,839 ",$100 ,RegCF,-,Yes,-,-,Pennsylvania
Alpine Pacific,Funded,No Report,-,"Energy, Power, & Natural Resources",Infrashares,-,Debt,Closed,"$18,000 ",3/31/2022,4/30/2022,"$940,590 ",-,-,$600 ,"$2,000 ",RegCF,-,-,-,-,Montana
Patek Myself by Ard Arz,Funded,No Report,-,"Media, Entertainment & Publishing",Wefunder,-,Equity - Common,Closed,"$50,000 ",3/31/2022,4/25/2022,-,-,147,"$2,000 ",$100 ,RegCF,-,-,-,-,California
Petzey Technology,Funded,No Report,3.35,"Pet Health, Food, and Services",Netcapital,"$9,965,478 ",Equity - Common,Closed,"$32,808 ",3/30/2022,11/30/2022,-,-,-,$134 ,$99 ,RegCF,-,-,-,-,Texas
Roog,Funded,No Report,1.97,"Business Services, Software, & Applications",Ignite Social Impact,Uncapped,SAFE,Closed,"$19,200 ",3/30/2022,10/31/2022,-,-,-,$89 ,$100 ,RegCF,Yes,-,-,Yes,Texas
Mediloq,Funded,Underweight,4.61,"Consumer Products, Goods & Services",Ignite Social Impact,"$3,125,000 ",Equity - Common,Closed,"$36,800 ",3/30/2022,9/29/2022,"$39,091 ",79.9x,-,$201 ,$100 ,RegCF,Yes,-,-,Yes,Colorado
KneeVoice,Funded,No Report,4.11,Healthcare & Pharmaceuticals,Microventures,"$10,000,000 ",Equity - Preferred,Closed,"$161,928 ",3/30/2022,8/30/2022,-,-,128,"$1,058 ",$111 ,RegCF,Yes,-,-,Yes,California
